gene	pLI	LOEUF
ABLIM3	7.7214e-10	0.691
ABR	0.99996	0.431
ABRA	9.4717e-07	0.993
ABRACL	0.11384	1.243
ABRAXAS1	4.4645e-05	1.347
ABRAXAS2	0.43358	0.641
ABT1	0.0001344	1.2
ABTB1	1.4524e-12	1.003
ABTB2	3.5697e-10	0.733
ACAA1	1.4146e-14	1.199
ACAA2	1.964e-09	1.148
ACACA	1.0	0.374
ACACB	2.7387e-49	0.843
ACAD10	6.9671e-34	1.05
ACAD11	1.1192e-17	1.01
ACAD8	6.951e-14	1.11
ACAD9	1.1413e-12	0.884
ACADL	3.5387e-14	1.262
ACADM	6.8458e-12	1.072
ACADS	3.5192e-06	0.852
ACADSB	7.245e-07	0.891
ACADVL	2.4249999999999997e-22	1.077
ACAN	1.0	0.377
ACAP1	0.0020255	0.579
ACAP2	0.99673	0.47
ACAP3	1.638e-12	0.816
ACAT1	0.00031856	0.798
ACAT2	1.9103e-06	0.99
ACBD3	0.0059197	0.634
ACBD4	2.1826e-12	1.09
ACBD5	2.2882e-06	0.734
ACBD6	1.2278e-05	1.037
ACBD7	0.00019634	1.515
ACCS	7.8032e-11	0.899
ACCSL	4.2141e-15	1.037
ACD	4.3134e-10	0.921
ACE	6.2381e-32	0.88
ACER1	1.3147e-11	1.411
ACER2	1.4586e-07	1.155
ACER3	0.30464	0.815
ACHE	0.81412	0.546
ACIN1	1.0	0.15
ACKR1	0.01936	1.841
ACKR2	0.11759	1.934
ACKR3	0.98139	0.492
ACKR4	0.12264	1.218
ACLY	1.0	0.401
ACMSD	1.8164e-08	1.063
ACO1	1.5512e-14	0.839
ACO2	0.98113	0.489
ACOD1	0.0022454	1.53
ACOT1	0.20157	1.531
ACOT11	5.9288999999999995e-21	1.088
ACOT12	4.8476e-13	0.92
ACOT13	0.00061171	1.452
ACOT2	6.9664e-05	1.191
ACOT4	9.9825e-06	1.586
ACOT6	6.8e-08	1.96
ACOT7	0.99457	0.468
ACOT8	5.8302e-10	1.096
ACOX1	1.7103e-05	0.67
ACOX2	3.611e-16	0.914
ACOX3	8.4687e-23	1.114
ACOXL	1.718e-23	1.239
ACP1	1.4858e-07	1.547
ACP2	1.017e-06	0.804
ACP3	4.4344e-07	1.079
ACP4	3.0241e-19	1.413
ACP5	8.6434e-08	1.14
ACP6	1.4193e-16	1.313
ACP7	1.1195e-18	1.147
ACR	0.00030852	0.943
ACRBP	6.8612e-13	0.911
ACRV1	0.0023017	0.822
ACSBG1	0.0031721	0.594
ACSBG2	3.6935e-16	0.99
ACSF2	6.4482e-12	0.844
ACSF3	2.6576999999999998e-36	1.715
ACSL1	0.047811	0.555
ACSL3	0.010744	0.605
ACSL5	1.4483e-07	0.702
ACSL6	0.0007987	0.584
ACSM1	2.6229e-26	1.248
ACSM2A	3.0224000000000004e-25	1.233
ACSM2B	1.3754e-15	0.956
ACSM3	5.1473e-16	0.999
ACSM4	1.0931e-19	1.072
ACSM5	1.6829e-15	1.003
ACSS1	7.0052e-07	0.712
ACSS2	5.553e-10	0.785
ACSS3	2.5819e-14	0.931
ACTA1	3.1036e-06	0.931
ACTA2	0.99431	0.472
ACTB	1.0	0.193
ACTBL2	1.9762e-12	1.624
ACTC1	0.97314	0.511
ACTG1	0.45871	0.617
ACTG2	0.28166	0.626
ACTL10	0.0027436	1.947
ACTL6A	1.0	0.186
ACTL6B	9.6229e-13	0.954
ACTL7A	1.0553e-08	1.182
ACTL7B	1.8885e-07	1.414
ACTL8	0.60141	0.756
ACTL9	0.18716	1.575
ACTN1	1.0	0.331
ACTN2	0.99996	0.432
ACTN3	1.1649000000000001e-24	0.944
ACTN4	1.0	0.238
ACTR10	5.1056e-05	1.148
ACTR1A	0.99999	0.337
ACTR1B	2.6759e-09	0.968
ACTR2	1.0	0.177
ACTR3	0.99496	0.461
ACTR3B	0.99999	0.328
ACTR3C	0.00028858	1.046
ACTR5	1.2267e-12	0.986
ACTR6	2.2941e-06	1.017
ACTR8	7.1878e-17	1.033
ACTRT2	0.28829	1.307
ACTRT3	4.6633e-07	1.242
ACVR1	2.4131e-08	0.835
ACVR1B	0.99992	0.403
ACVR1C	0.17453	0.6
ACVR2A	1.0	0.222
ACVR2B	0.99995	0.408
ACVRL1	0.51066	0.57
ACY1	1.516e-09	0.9
ACY3	1.6724e-06	1.196
ACYP1	0.0058814	1.301
ACYP2	0.067045	1.728
ADA	9.64e-15	1.184
ADA2	5.39e-06	0.879
ADAD1	4.1725e-06	0.778
ADAD2	4.0954000000000005e-25	1.524
ADAL	7.6328e-10	1.204
ADAM10	1.0	0.276
ADAM11	0.00045604	0.584
ADAM12	9.8869e-15	0.818
ADAM15	1.2469e-17	0.826
ADAM17	0.10138	0.565
ADAM18	2.4743000000000002e-29	1.585
ADAM19	2.7622e-13	0.739
ADAM2	4.654e-11	1.188
ADAM20	0.11894	1.933
ADAM21	0.1411	1.913
ADAM22	0.55288	0.518
ADAM23	0.99999	0.416
ADAM28	1.434e-25	1.23
ADAM29	0.0081078	1.939
ADAM30	0.15001	1.903
ADAM32	5.8986e-14	1.041
ADAM33	6.2756e-39	1.291
ADAM7	2.2771999999999997e-22	1.16
ADAM8	2.8382999999999997e-40	1.423
ADAM9	0.0018051	0.575
ADAMDEC1	1.3303e-14	1.234
ADAMTS1	1.0	0.329
ADAMTS10	0.99647	0.467
ADAMTS12	2.9445e-26	0.782
ADAMTS13	9.996300000000001e-30	0.917
ADAMTS14	2.8381e-27	0.966
ADAMTS15	0.034184	0.599
ADAMTS16	1.8384e-19	0.794
ADAMTS17	2.2942e-31	0.966
ADAMTS18	1.0763e-48	1.055
ADAMTS19	5.2776e-18	0.83
ADAMTS2	0.0010101	0.568
ADAMTS20	5.8816e-51	0.947
ADAMTS3	1.2131e-09	0.67
ADAMTS4	9.9457e-07	0.732
ADAMTS5	7.5384e-12	0.818
ADAMTS6	1.0	0.228
ADAMTS7	6.597800000000001e-19	0.761
ADAMTS8	1.1516e-15	1.076
ADAMTS9	0.86871	0.469
ADAMTSL1	1.5858000000000001e-24	0.744
ADAMTSL2	2.271e-08	0.679
ADAMTSL3	2.8223e-20	0.692
ADAMTSL4	1.1088e-25	0.92
ADAMTSL5	7.070499999999999e-23	1.407
ADAP1	5.3209e-08	0.949
ADAP2	1.9318e-11	1.031
ADAR	0.99972	0.449
ADARB1	1.0	0.323
ADARB2	0.0044744	0.681
ADAT1	2.0916000000000002e-19	1.193
ADAT2	3.754e-08	1.326
ADAT3	0.00056981	1.929
ADCK1	5.801e-09	0.916
ADCK2	2.7368e-09	0.921
ADCK5	4.5106e-11	0.999
ADCY1	1.0	0.346
ADCY10	1.2558999999999999e-38	0.922
ADCY2	1.0	0.329
ADCY3	3.8965e-11	0.695
ADCY4	2.5047e-35	1.089
ADCY5	1.0	0.326
ADCY6	1.356e-07	0.639
ADCY7	2.9515e-13	0.738
ADCY8	0.00049635	0.586
ADCY9	6.106e-05	0.603
ADCYAP1	0.22329	0.864
ADCYAP1R1	7.4456e-09	0.797
ADD1	1.0	0.387
ADD2	1.0	0.388
ADD3	0.99998	0.395
ADGB	1.5097e-32	0.941
ADGRA1	0.0024377	1.025
ADGRA2	1.2256e-15	0.943
ADGRA3	4.5445e-05	0.607
ADGRB1	1.0	0.372
ADGRB2	1.0	0.383
ADGRB3	1.0	0.246
ADGRD1	5.0406e-12	0.826
ADGRE1	2.7265e-22	0.951
ADGRE2	3.7208e-23	1.028
ADGRE3	2.5264000000000002e-24	1.265
ADGRE5	9.3388e-19	0.973
ADGRF1	5.3118e-24	1.247
ADGRF3	4.7081e-26	1.069
ADGRF4	1.1036e-16	1.36
ADGRF5	5.3761e-08	0.719
ADGRG1	6.3056e-12	0.871
ADGRG3	1.1337e-09	0.93
ADGRG5	9.8434e-10	0.982
ADGRG6	0.16537	0.63
ADGRG7	1.4692e-15	1.194
ADGRL1	1.0	0.302
ADGRL2	1.0	0.301
ADGRL3	0.99956	0.451
ADGRL4	1.7279e-27	1.44
ADGRV1	6.4034e-36	0.637
ADH1A	8.7674e-09	1.104
ADH1B	1.2869e-06	1.013
ADH1C	5.1629e-07	0.991
ADH4	1.8113e-06	1.077
ADH5	9.2579e-09	1.191
ADH6	5.8588e-11	1.263
ADH7	6.4586e-15	1.429
ADHFE1	9.9156e-09	0.966
ADI1	1.0815e-10	1.713
ADIG	1.2014e-05	1.845
ADIPOQ	3.6258e-09	1.655
ADIPOR1	0.7792	0.571
ADIPOR2	0.17629	0.636
ADIRF	0.00011975	1.788
ADK	0.00021733	0.893
ADM	0.90376	0.581
ADM2	0.00012314	1.901
ADM5	0.21076	1.818
ADNP	1.0	0.106
ADNP2	0.18308	0.896
ADO	0.0012344	1.476
ADORA1	0.86185	0.598
ADORA2A	0.030226	0.846
ADORA2B	3.4881e-08	1.412
ADORA3	0.12765	1.204
ADPGK	8.237e-07	0.937
ADPRH	6.5355e-09	1.165
ADPRHL1	6.3996e-15	1.264
ADPRM	0.00024482	0.959
ADPRS	3.3734e-08	1.155
ADRA1A	3.6545e-11	1.343
ADRA1B	1.8158e-06	1.449
ADRA1D	4.4147e-10	1.772
ADRA2A	0.0045237	1.783
ADRA2B	8.3783e-07	1.556
ADRA2C	0.16791	1.116
ADRB1	0.11145	1.939
ADRB2	0.001018	0.901
ADRB3	2.8276e-16	1.952
ADRM1	1.0	0.188
ADSL	2.8047e-10	0.915
ADSS1	9.893e-19	1.245
ADSS2	0.13716	0.646
ADTRP	1.4591e-05	1.074
AEBP1	6.2634e-13	0.735
AEBP2	0.9868	0.461
AEN	8.6278e-09	1.666
AFAP1	1.2782e-17	0.918
AFAP1L1	1.0845e-20	0.944
AFAP1L2	0.00032142	0.605
AFDN	1.0	0.398
AFF1	0.94566	0.49
AFF3	1.0	0.318
AFF4	1.0	0.114
AFG1L	5.7967e-05	1.018
AFG3L2	1.0227e-08	0.724
AFM	2.2172000000000002e-25	1.44
AFMID	5.3725e-11	1.018
AFP	5.2276e-14	0.963
AGA	3.0493e-05	0.938
AGAP1	1.0	0.366
AGAP2	0.99999	0.414
AGAP3	1.0	0.359
AGAP4	0.19089	0.761
AGAP5	0.46601	0.717
AGAP6	5.9877e-05	0.757
AGAP9	0.000495	0.823
AGBL1	2.6955999999999997e-46	1.313
AGBL2	1.2893e-17	0.944
AGBL3	9.5555e-11	0.893
AGBL4	3.9504e-15	1.107
AGBL5	1.6548e-08	0.709
AGER	2.6621e-14	1.068
AGFG1	1.0	0.286
AGFG2	2.0088e-06	0.873
AGGF1	4.6139e-09	0.808
AGK	7.3523e-06	0.918
AGL	1.0329999999999999e-22	0.72
AGMAT	4.9676e-16	1.712
AGMO	6.4021e-16	1.561
AGO1	1.0	0.164
AGO2	1.0	0.102
AGO3	1.0	0.232
AGO4	1.0	0.393
AGPAT1	0.99968	0.367
AGPAT2	7.177e-06	1.199
AGPAT3	1.0	0.21
AGPAT4	0.9973	0.461
AGPAT5	3.3307e-14	1.391
AGPS	0.99977	0.408
AGR2	1.6551e-07	1.34
AGR3	2.711e-09	1.932
AGRN	1.5815e-20	0.73
AGRP	0.018192	1.091
AGT	1.6897e-08	1.202
AGTPBP1	0.0066485	0.556
AGTR1	7.219e-05	1.113
AGTRAP	0.12563	0.838
AGXT	2.0059e-14	1.251
AGXT2	1.3802e-18	1.185
AHCTF1	1.0	0.142
AHCY	0.00093098	0.727
AHCYL1	1.0	0.34
AHCYL2	0.91149	0.516
AHDC1	1.0	0.168
AHI1	2.6598000000000003e-30	1.069
AHNAK	0.0002226	0.793
AHNAK2	0.00025356	0.917
AHR	0.007994	0.606
AHRR	1.1095e-06	0.897
AHSA1	0.97802	0.505
AHSG	1.136e-05	1.042
AHSP	0.0027368	1.947
AICDA	1.2839e-05	1.144
AIDA	0.93307	0.545
AIF1	1.9979e-07	1.407
AIF1L	0.0012316	1.102
AIFM2	1.6036e-13	1.404
AIFM3	2.2617e-22	1.109
AIG1	6.8925e-07	1.279
AIM2	1.1254e-11	1.421
AIMP1	6.2809e-05	0.931
AIMP2	2.3887e-06	1.107
AIP	0.28135	0.626
AIPL1	7.0113e-07	1.01
AIRE	2.864e-16	1.169
AJAP1	0.99921	0.376
AJM1	2.4787e-06	1.162
AJUBA	0.4294	0.581
AK1	0.0078122	0.873
AK2	0.00086478	0.954
AK3	3.3565e-10	1.602
AK4	0.010184	0.942
AK5	0.97996	0.5
AK6	9.1273e-09	1.377
AK7	1.1629e-15	0.945
AK8	1.1284e-13	1.12
AK9	2.6186e-37	0.848
AKAIN1	0.11342	1.506
AKAP1	0.67115	0.526
AKAP10	0.99999	0.381
AKAP11	1.0	0.319
AKAP12	0.97372	0.496
AKAP13	1.0	0.362
AKAP3	0.021293	0.62
AKAP5	0.66209	0.698
AKAP6	1.0	0.367
AKAP7	6.8781e-09	1.33
AKAP8	0.99314	0.48
AKAP8L	0.018734	0.592
AKAP9	1.5523999999999999e-43	0.662
AKIP1	1.0825e-05	1.324
AKIRIN1	0.99261	0.435
AKIRIN2	0.99192	0.459
AKNA	2.1934e-08	0.631
AKNAD1	2.093e-16	0.912
AKR1A1	6.6523e-06	0.871
AKR1B1	0.00073369	0.75
AKR1B10	1.2141e-13	1.324
AKR1B15	8.3094e-18	1.527
AKR1C1	3.345e-10	1.255
AKR1C2	8.8515e-07	1.035
AKR1C3	8.9689e-11	1.34
AKR1C4	5.3623e-13	1.337
AKR1D1	7.4662e-09	1.157
AKR1E2	2.5795e-15	1.302
AKR7A2	9.4203e-09	1.062
AKR7A3	5.944e-14	1.409
AKT1	0.99545	0.474
AKT1S1	1.3423e-06	1.49
AKT2	0.99996	0.398
AKT3	0.99015	0.482
AKTIP	0.37378	0.612
ALAD	0.097632	0.63
ALAS1	0.0028188	0.649
ALB	0.1093	0.577
ALCAM	0.99519	0.474
ALDH16A1	4.4086e-30	1.183
ALDH18A1	0.00013089	0.617
ALDH1A1	0.87463	0.542
ALDH1A2	0.16502	0.581
ALDH1A3	0.0037408	0.667
ALDH1B1	3.6419e-06	1.029
ALDH1L1	2.5911e-15	0.822
ALDH1L2	3.7563000000000003e-25	0.974
ALDH2	5.9378e-11	0.989
ALDH3A1	3.5553e-16	1.246
ALDH3A2	8.6514e-09	0.972
ALDH3B1	5.5371e-12	1.217
ALDH4A1	2.0602e-11	0.902
ALDH5A1	2.1451e-07	0.852
ALDH6A1	4.5152e-09	0.835
ALDH7A1	1.2571e-16	0.983
ALDH8A1	5.3411e-12	1.113
ALDH9A1	4.3291e-08	0.887
ALDOA	2.3604e-05	0.821
ALDOB	2.3588e-11	1.183
ALDOC	0.00027555	0.785
ALG1	1.6267e-25	1.419
ALG10	5.8848e-06	0.901
ALG10B	1.6377e-07	1.018
ALG11	1.5591e-06	0.908
ALG12	1.4977e-09	0.965
ALG14	7.0391e-05	1.055
ALG1L2	3.3746e-13	1.607
ALG2	5.5991e-12	1.408
ALG3	1.7952e-10	0.972
ALG5	0.015945	0.823
ALG6	2.2406e-05	0.892
ALG8	1.8738e-10	0.909
ALG9	1.3976e-12	0.853
ALK	3.8217e-06	0.562
ALKAL1	7.9389e-06	1.944
ALKAL2	0.025534	1.297
ALKBH1	2.4628e-08	1.128
ALKBH2	5.3215e-07	1.392
ALKBH3	3.5288e-16	1.434
ALKBH4	0.0041694	1.035
ALKBH5	1.0	0.19
ALKBH6	6.5151e-07	1.152
ALKBH7	1.1462e-09	1.675
ALKBH8	2.7075e-05	0.797
ALLC	5.2281e-11	1.144
ALMS1	2.1295e-65	0.825
ALOX12	8.9707e-16	0.921
ALOX12B	3.6631e-10	0.783
ALOX15	7.4766e-21	1.117
ALOX15B	2.2638e-27	1.263
ALOX5	7.7684e-17	0.933
ALOX5AP	0.13095	0.795
ALOXE3	5.0055e-23	1.036
ALPG	1.0455e-09	1.103
ALPI	3.4185e-16	1.163
ALPK1	1.3166e-32	1.079
ALPK2	3.4526000000000003e-31	0.862
ALPK3	2.279e-26	0.874
ALPL	1.7059e-11	0.987
ALPP	4.845e-12	1.117
ALS2	2.816e-17	0.649
ALS2CL	5.2250999999999996e-37	1.08
ALX1	0.00060691	0.838
ALX3	7.4098e-05	1.051
ALX4	3.2775e-05	0.902
ALYREF	0.99971	0.235
AMACR	1.0248e-05	1.239
AMBN	2.6606e-12	1.345
AMBP	5.4457e-11	1.017
AMBRA1	0.93732	0.491
AMD1	0.99693	0.442
AMDHD1	2.3957e-13	1.381
AMDHD2	2.1624e-05	0.868
AMER2	0.83912	0.655
AMFR	0.00062362	0.633
AMH	1.0623000000000001e-19	1.954
AMHR2	2.7267e-07	0.784
AMIGO1	1.0	0.099
AMIGO2	0.00011286	0.97
AMIGO3	0.00020745	1.844
AMMECR1L	0.99999	0.257
AMN	1.8277e-15	1.446
AMN1	0.0078309	0.838
AMOTL1	0.0029055	0.581
AMOTL2	0.056222	0.574
AMPD1	7.158799999999999e-21	1.036
AMPD2	1.3901e-08	0.705
AMPD3	1.5297e-12	0.817
AMPH	1.6051e-06	0.697
AMT	0.00010023	0.805
AMTN	5.1559e-10	1.656
AMY1A	0.070662	1.903
AMY1C	0.87039	0.564
AMY2A	0.01822	0.848
AMY2B	1.9898999999999998e-26	1.395
AMZ1	4.1978e-19	1.88
AMZ2	1.5011e-06	1.004
ANAPC1	1.0	0.273
ANAPC10	0.51575	0.863
ANAPC11	0.54592	0.785
ANAPC13	0.00073928	1.596
ANAPC15	0.018212	0.939
ANAPC16	0.33811	0.847
ANAPC2	0.99028	0.482
ANAPC4	2.8288e-08	0.757
ANAPC5	1.6677e-12	0.889
ANAPC7	0.99414	0.478
ANG	0.41982	1.697
ANGEL1	3.7645e-17	0.98
ANGEL2	3.0779e-08	0.788
ANGPT1	0.99987	0.414
ANGPT2	0.031906	0.606
ANGPT4	1.5442e-16	1.189
ANGPTL1	1.0041e-09	0.981
ANGPTL2	0.014026	0.643
ANGPTL3	1.4168e-11	1.209
ANGPTL4	3.696e-16	1.481
ANGPTL5	2.5851e-06	1.158
ANGPTL6	1.8601e-16	1.338
ANGPTL7	1.8591e-12	1.231
ANGPTL8	2.0296e-10	1.749
ANHX	0.00088956	0.776
ANK1	1.0	0.299
ANK2	1.0	0.271
ANK3	1.0	0.16
ANKAR	5.6721000000000004e-33	1.07
ANKDD1A	7.6013e-16	1.137
ANKDD1B	1.1295e-07	1.173
ANKEF1	2.0997e-06	0.77
ANKFN1	5.0599e-11	0.741
ANKFY1	0.99797	0.463
ANKH	0.99706	0.463
ANKHD1	1.0	0.178
ANKIB1	0.34002	0.533
ANKK1	9.643e-14	1.382
ANKLE1	2.305e-22	1.368
ANKLE2	2.9547e-12	0.825
ANKMY1	3.1232e-33	1.141
ANKMY2	2.0856e-08	0.913
ANKRA2	3.8479e-10	1.358
ANKRD1	7.6168e-09	1.038
ANKRD10	0.00017098	1.035
ANKRD11	1.0	0.132
ANKRD12	1.0194e-07	0.583
ANKRD13A	4.7242e-07	0.72
ANKRD13B	0.00033214	0.672
ANKRD13C	0.99669	0.449
ANKRD13D	0.54585	0.552
ANKRD16	1.6814e-10	1.356
ANKRD17	1.0	0.118
ANKRD18A	2.9181e-14	0.872
ANKRD18B	2.0378e-15	0.89
ANKRD2	1.0919e-13	1.426
ANKRD20A1	0.93628	0.512
ANKRD22	1.3142e-08	1.513
ANKRD23	1.9405e-23	1.671
ANKRD24	6.131899999999999e-40	1.255
ANKRD26	1.9855e-20	0.728
ANKRD27	5.9527e-27	0.965
ANKRD28	0.99917	0.455
ANKRD29	9.8159e-09	1.187
ANKRD30A	1.3948999999999999e-46	1.295
ANKRD30B	1.4115e-23	0.981
ANKRD30BL	0.00057109	1.929
ANKRD31	3.0539e-24	0.844
ANKRD33	5.3205e-09	1.351
ANKRD33B	0.70044	0.682
ANKRD34A	0.9914	0.468
ANKRD34C	0.24036	1.761
ANKRD35	1.1716e-31	1.071
ANKRD36	3.9648000000000004e-55	1.132
ANKRD36B	0.14331	0.569
ANKRD37	8.1343e-06	1.265
ANKRD39	1.4079e-06	1.375
ANKRD40	5.1839e-06	0.936
ANKRD42	2.7598e-12	1.08
ANKRD44	1.0	0.365
ANKRD45	2.0456e-06	1.119
ANKRD46	0.0044588	0.965
ANKRD49	5.4088e-05	1.221
ANKRD50	0.99992	0.439
ANKRD52	1.0	0.122
ANKRD53	2.8779e-10	1.379
ANKRD54	5.2004e-08	1.126
ANKRD55	1.8e-08	0.843
ANKRD6	6.9313e-12	0.869
ANKRD61	0.0025461	1.498
ANKRD62	1.7927e-11	0.942
ANKRD63	9.7371e-08	1.835
ANKRD65	7.1256e-12	1.968
ANKRD66	0.00014355	1.579
ANKRD7	2.7634e-06	1.219
ANKRD9	4.1694e-07	1.966
ANKS1A	0.0091996	0.549
ANKS1B	1.0	0.298
ANKS3	1.3297e-18	1.102
ANKS4B	2.5912e-10	1.325
ANKS6	4.1775e-10	0.869
ANKUB1	1.2505e-12	1.083
ANKZF1	1.6314e-27	1.125
ANLN	0.078672	0.537
ANO1	8.8688e-07	0.618
ANO10	3.7519e-26	1.24
ANO2	1.0319e-30	1.022
ANO3	5.0884e-18	0.911
ANO4	6.4935e-05	0.576
ANO5	2.1745e-26	1.034
ANO6	2.4628e-30	1.02
ANO7	7.0983e-35	1.159
ANO8	2.4434e-14	0.795
ANO9	2.4483e-23	1.022
ANP32A	1.0	0.143
ANP32B	0.9995	0.364
ANP32D	0.015664	1.433
ANP32E	0.063372	0.762
ANPEP	4.5127e-12	0.705
ANTKMT	2.3679e-12	1.948
ANTXR1	1.0	0.346
ANTXR2	3.705e-09	0.981
ANTXRL	2.1718e-16	1.004
ANXA1	4.7906e-08	1.182
ANXA10	1.646e-07	1.146
ANXA11	1.5348e-14	1.086
ANXA13	2.1774e-08	0.96
ANXA2	3.9002e-06	0.985
ANXA3	2.0991e-05	1.244
ANXA4	2.8306e-08	1.077
ANXA5	3.5025e-09	1.465
ANXA6	9.2678e-15	0.872
ANXA7	8.4541e-11	1.055
ANXA8	0.59384	0.726
ANXA8L1	0.00064852	1.812
ANXA9	2.7725e-14	1.091
AOAH	9.4434e-12	0.876
AOC1	2.4456e-20	1.253
AOC2	1.8085e-22	1.292
AOC3	4.465e-15	1.056
AOPEP	4.1523e-15	0.979
AOX1	6.5603e-31	1.009
AP1AR	0.00028404	1.048
AP1B1	0.99357	0.476
AP1G1	1.0	0.113
AP1G2	1.5854e-23	1.004
AP1M1	0.99509	0.474
AP1M2	3.34e-12	1.073
AP1S1	0.00077664	1.078
AP1S3	0.068273	0.817
AP2A1	1.0	0.331
AP2A2	0.99985	0.437
AP2B1	1.0	0.275
AP2M1	1.0	0.182
AP2S1	0.98109	0.478
AP3B1	0.0032623	0.59
AP3B2	0.21689	0.52
AP3D1	0.99989	0.443
AP3M1	0.00017508	0.823
AP3M2	8.9123e-06	0.858
AP3S1	0.0072646	1.433
AP3S2	1.0733e-07	1.304
AP4B1	8.6664e-10	0.777
AP4E1	0.00043414	0.576
AP4M1	5.0074e-18	1.106
AP4S1	3.0245e-09	1.675
AP5B1	0.007513	1.424
AP5M1	5.8546e-07	1.061
AP5S1	3.3391e-05	1.528
AP5Z1	1.001e-47	1.641
APAF1	2.2839e-12	0.664
APBA1	1.1515e-13	0.978
APBA2	0.78163	0.524
APBA3	2.3681e-15	1.237
APBB1	0.99999	0.401
APBB1IP	0.3448	0.585
APBB2	0.60619	0.54
APBB3	1.3447e-13	0.973
APC	1.0	0.321
APC2	3.6028e-11	0.961
APCDD1	0.59395	0.586
APCDD1L	1.2324e-09	1.86
APCS	0.020836	1.826
APEH	2.3187e-18	0.87
APEX1	1.1096e-10	1.225
APH1A	0.0050779	0.806
APH1B	2.5362e-10	1.327
API5	1.0	0.211
APIP	2.2729e-09	1.423
APLF	2.5444999999999997e-21	1.451
APLNR	0.030856	0.81
APLP1	1.1458e-07	0.713
APLP2	2.6598e-08	0.723
APMAP	2.4673e-10	1.14
APOA1	5.3313e-07	1.168
APOA2	0.349	1.012
APOA4	5.836e-07	0.985
APOA5	3.8516e-08	1.146
APOB	1.3512e-11	0.537
APOBEC1	2.4654e-05	1.086
APOBEC2	0.0003754	1.085
APOBEC3A	0.027051	0.9
APOBEC3B	6.3002e-07	0.854
APOBEC3C	0.00026063	1.056
